bin_lo,bin_hi,count,avg_conf,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,120,0.24725958704948425,0.14166666666666666
0.26666666666666666,0.3333333333333333,641,0.30610060691833496,0.25273010920436817
0.3333333333333333,0.4,1132,0.370224267244339,0.30212014134275617
0.4,0.4666666666666667,1336,0.43495973944664,0.34880239520958084
0.4666666666666667,0.5333333333333333,1553,0.49958065152168274,0.42949130714745654
0.5333333333333333,0.6,1392,0.5661243796348572,0.4482758620689655
0.6,0.6666666666666666,1222,0.6324288249015808,0.5008183306055647
0.6666666666666666,0.7333333333333333,1224,0.698894739151001,0.545751633986928
0.7333333333333333,0.8,1238,0.7673280835151672,0.6413570274636511
0.8,0.8666666666666667,1286,0.8340610861778259,0.7115085536547434
0.8666666666666667,0.9333333333333333,1673,0.9010400176048279,0.8009563658099222
0.9333333333333333,1.0,2068,0.9668111205101013,0.8641199226305609
