bin_lo,bin_hi,count,avg_conf,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,1,0.19424353539943695,1.0
0.2,0.26666666666666666,57,0.24750658869743347,0.22807017543859648
0.26666666666666666,0.3333333333333333,279,0.3056543171405792,0.23655913978494625
0.3333333333333333,0.4,658,0.3700988292694092,0.2689969604863222
0.4,0.4666666666666667,985,0.4351436495780945,0.30456852791878175
0.4666666666666667,0.5333333333333333,1212,0.5000180602073669,0.34983498349834985
0.5333333333333333,0.6,1181,0.5659114718437195,0.4157493649449619
0.6,0.6666666666666666,1253,0.6332983374595642,0.4381484437350359
0.6666666666666666,0.7333333333333333,1286,0.700373649597168,0.4751166407465008
0.7333333333333333,0.8,1382,0.7664346098899841,0.540520984081042
0.8,0.8666666666666667,1503,0.8346103429794312,0.6014637391882901
0.8666666666666667,0.9333333333333333,2024,0.902520477771759,0.7149209486166008
0.9333333333333333,1.0,3064,0.9671224355697632,0.8410574412532638
