bin_lo,bin_hi,count,avg_conf,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,34,0.24459289014339447,0.23529411764705882
0.26666666666666666,0.3333333333333333,270,0.3078724145889282,0.21481481481481482
0.3333333333333333,0.4,629,0.3698555827140808,0.2957074721780604
0.4,0.4666666666666667,1116,0.4362250566482544,0.3575268817204301
0.4666666666666667,0.5333333333333333,1806,0.5013754367828369,0.4152823920265781
0.5333333333333333,0.6,1861,0.5661298632621765,0.4578183772165502
0.6,0.6666666666666666,1815,0.6329541206359863,0.5046831955922865
0.6666666666666666,0.7333333333333333,1825,0.6999108791351318,0.566027397260274
0.7333333333333333,0.8,1747,0.7659097909927368,0.5867200915855753
0.8,0.8666666666666667,1590,0.8329081535339355,0.6220125786163522
0.8666666666666667,0.9333333333333333,1277,0.8977029919624329,0.6139389193422083
0.9333333333333333,1.0,915,0.9659099578857422,0.6896174863387978
