bin_lo,bin_hi,count,avg_conf,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,2,0.2529495358467102,0.5
0.26666666666666666,0.3333333333333333,35,0.30869200825691223,0.2
0.3333333333333333,0.4,118,0.37129271030426025,0.2457627118644068
0.4,0.4666666666666667,262,0.4360699951648712,0.25190839694656486
0.4666666666666667,0.5333333333333333,580,0.5036981105804443,0.3103448275862069
0.5333333333333333,0.6,715,0.567642867565155,0.3132867132867133
0.6,0.6666666666666666,705,0.6338749527931213,0.3574468085106383
0.6666666666666666,0.7333333333333333,727,0.6993029713630676,0.3686382393397524
0.7333333333333333,0.8,810,0.7678304314613342,0.39382716049382716
0.8,0.8666666666666667,989,0.8359466195106506,0.43882709807886755
0.8666666666666667,0.9333333333333333,1555,0.9045025706291199,0.48231511254019294
0.9333333333333333,1.0,8387,0.9867011904716492,0.6888041015857875
