bin_lo,bin_hi,count,avg_conf,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,29,0.24718843400478363,0.27586206896551724
0.26666666666666666,0.3333333333333333,162,0.30629923939704895,0.17901234567901234
0.3333333333333333,0.4,463,0.3692203760147095,0.2505399568034557
0.4,0.4666666666666667,826,0.43687865138053894,0.2772397094430993
0.4666666666666667,0.5333333333333333,1216,0.5008000731468201,0.35526315789473684
0.5333333333333333,0.6,1200,0.5660851001739502,0.38416666666666666
0.6,0.6666666666666666,1179,0.632239818572998,0.42917726887192537
0.6666666666666666,0.7333333333333333,1228,0.7001649141311646,0.46254071661237783
0.7333333333333333,0.8,1315,0.7668395638465881,0.5163498098859316
0.8,0.8666666666666667,1628,0.834564745426178,0.5964373464373465
0.8666666666666667,0.9333333333333333,2246,0.9019204378128052,0.6838824577025824
0.9333333333333333,1.0,3393,0.9659237861633301,0.8084291187739464
