bin_lo,bin_hi,count,avg_conf,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,2,0.25239938497543335,0.0
0.26666666666666666,0.3333333333333333,26,0.3068704903125763,0.11538461538461539
0.3333333333333333,0.4,124,0.3705003559589386,0.23387096774193547
0.4,0.4666666666666667,299,0.43585196137428284,0.23745819397993312
0.4666666666666667,0.5333333333333333,578,0.5041612386703491,0.29411764705882354
0.5333333333333333,0.6,646,0.5653111338615417,0.3204334365325077
0.6,0.6666666666666666,676,0.6335465312004089,0.34023668639053256
0.6666666666666666,0.7333333333333333,763,0.7006644010543823,0.40104849279161203
0.7333333333333333,0.8,814,0.7678539752960205,0.41154791154791154
0.8,0.8666666666666667,991,0.83585125207901,0.4439959636730575
0.8666666666666667,0.9333333333333333,1432,0.9025310277938843,0.4245810055865922
0.9333333333333333,1.0,8534,0.9882054924964905,0.7024841809233654
