bin_lo,bin_hi,count,avg_conf,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,1,0.25758096575737,0.0
0.26666666666666666,0.3333333333333333,10,0.30898410081863403,0.3
0.3333333333333333,0.4,42,0.37792226672172546,0.23809523809523808
0.4,0.4666666666666667,116,0.43509507179260254,0.21551724137931033
0.4666666666666667,0.5333333333333333,363,0.5063772797584534,0.3333333333333333
0.5333333333333333,0.6,515,0.5670772790908813,0.312621359223301
0.6,0.6666666666666666,525,0.6347754001617432,0.3466666666666667
0.6666666666666666,0.7333333333333333,591,0.7007558941841125,0.34686971235194586
0.7333333333333333,0.8,688,0.7660366296768188,0.34593023255813954
0.8,0.8666666666666667,814,0.833878219127655,0.3894348894348894
0.8666666666666667,0.9333333333333333,1171,0.9037337303161621,0.4252775405636208
0.9333333333333333,1.0,10049,0.9905166029930115,0.6486217534082993
