bin_lo,bin_hi,count,avg_conf,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,9,0.25594907999038696,0.1111111111111111
0.26666666666666666,0.3333333333333333,56,0.30933332443237305,0.25
0.3333333333333333,0.4,248,0.3717114329338074,0.23790322580645162
0.4,0.4666666666666667,449,0.43716663122177124,0.3028953229398664
0.4666666666666667,0.5333333333333333,984,0.5037631392478943,0.35264227642276424
0.5333333333333333,0.6,1206,0.5663634538650513,0.41044776119402987
0.6,0.6666666666666666,1266,0.6334543228149414,0.4265402843601896
0.6666666666666666,0.7333333333333333,1319,0.7002449631690979,0.4700530705079606
0.7333333333333333,0.8,1478,0.7679728865623474,0.4959404600811908
0.8,0.8666666666666667,1744,0.8347057104110718,0.5349770642201835
0.8666666666666667,0.9333333333333333,2257,0.9022342562675476,0.5830748781568453
0.9333333333333333,1.0,3869,0.9726136922836304,0.6298785215818041
