run,temperature,ece,ece_ts,mce,mce_ts,brier,brier_ts,nll,nll_ts,accuracy
efficientnet_b3_seed44,2.9,0.1233,0.0183,0.3326,0.2499,0.2944,0.2511,0.8062,0.49,0.8232
convnext_tiny_seed44,1.8,0.1319,0.0395,0.2791,0.1167,0.3601,0.3263,0.762,0.6112,0.7557
vit_b16_seed44,2.0,0.1351,0.021,0.2928,0.2605,0.3915,0.3554,0.8725,0.6811,0.7354
swin_tiny_seed44,2.85,0.1072,0.0224,0.3618,0.2092,0.2552,0.2182,0.7377,0.4296,0.85
