coverage,risk
6.718172657037286e-05,0.0
0.010144440712126302,0.06622516556291391
0.02022169969768223,0.0830564784053156
0.03036614040980853,0.09513274336283184
0.04044339939536446,0.09966777408637872
0.05052065838092039,0.10239361702127658
0.06066509909304669,0.10631229235880402
0.07074235807860262,0.12060778727445398
0.08081961706415855,0.12385702410640065
0.09096405777628486,0.1248153618906942
0.10104131676184078,0.1269946808510638
0.11111857574739671,0.13059250302297465
0.121263016459523,0.13240997229916895
0.13134027544507895,0.14117647058823535
0.14141753443063487,0.1463182897862233
0.15156197514276118,0.14937943262411346
0.1616392341283171,0.1525353283458022
0.17171649311387302,0.15649452269170583
0.18186093382599933,0.15958625785001845
0.19193819281155525,0.1627581379068953
0.2020154517971112,0.16528101097439307
0.21215989250923747,0.17036098796706778
0.22223715149479342,0.17140266021765416
0.23231441048034934,0.17582417582417587
0.24245885119247565,0.17871986699916875
0.25253611017803157,0.18355945730247403
0.2626133691635875,0.18828344845228961
0.2727578098757138,0.19088669950738912
0.28283506886126974,0.19382422802850352
0.29291232784682564,0.19839449541284404
0.30305676855895197,0.2019507869651962
0.3131340275445079,0.20875348637631408
0.3232112865300638,0.212637705258782
0.33335572724219015,0.21886336154776298
0.34343298622774604,0.22339593114240996
0.3535774269398724,0.2278168345050352
0.36365468592542827,0.23055606872344359
0.3737319449109842,0.2358439690814309
0.3838763856231105,0.23958697934896744
0.39395364460866644,0.24351978171896316
0.4040309035942224,0.2480877951446625
0.41417534430634867,0.2533657745336577
0.4242526032919046,0.25716547901821063
0.4343298622774605,0.2595514307811292
0.44447430298958684,0.26088270858524787
0.45455156197514274,0.2645580845403488
0.4646288209606987,0.26908617698091386
0.47477326167282496,0.27479835856799206
0.4848505206583809,0.2796175696272689
0.49492777964393686,0.28356182978145783
0.5050722203560631,0.28611332801276934
0.515149479341619,0.29068857589984354
0.525226738327175,0.29496034791506776
0.5353711790393013,0.29828083824821183
0.5454484380248572,0.3022539721640596
0.5555256970104132,0.30632482766960933
0.5656701377225395,0.311520190023753
0.5757473967080954,0.3144690781796966
0.5858246556936513,0.31662844036697246
0.5959690964057777,0.3186788411678503
0.6060463553913336,0.32280235007205405
0.6161236143768895,0.3260276959982553
0.6262680550890158,0.33007938210684407
0.6363453140745717,0.33319256756756754
0.6464225730601276,0.33797547287466223
0.6565670137722539,0.34083699989767724
0.6666442727578099,0.3431421949007357
0.6767887134699362,0.34653563629144335
0.6868659724554921,0.3484937402190923
0.6969432314410481,0.3517447464815886
0.7070876721531744,0.3551543942992874
0.7171649311387303,0.3576580796252927
0.7272421901242861,0.36157043879907624
0.7373866308364125,0.3647959183673469
0.7474638898219684,0.3679669243214093
0.7575411488075243,0.37043277758070237
0.7676855895196506,0.3734138444036055
0.7777628485052066,0.3760905243154531
0.7878401074907625,0.37980728233989935
0.7979845482028888,0.3829769321434585
0.8080618071884448,0.38659793814432986
0.8181390661740007,0.38971916570865495
0.828283506886127,0.39216481466461184
0.838360765871683,0.39530411090632267
0.8484380248572388,0.39844801647002925
0.8585824655693651,0.40062597809076683
0.868659724554921,0.4030162412993039
0.878736983540477,0.40626911314984715
0.8888814242526033,0.40934169752853145
0.8989586832381592,0.41267468799043416
0.9090359422237152,0.4152686423767644
0.9191803829358415,0.41733664668908055
0.9292576419213974,0.42054655870445345
0.9393349009069533,0.42404520097267917
0.9494793416190797,0.4270855444703885
0.9595566006046355,0.4298116642162011
0.9696338595901914,0.43317397630430265
0.9797783003023177,0.4363000548546352
0.9898555592878737,0.4393240124881227
1.0,0.44239166946590525
