coverage,risk
6.718172657037286e-05,0.0
0.010144440712126302,0.05960264900662249
0.02022169969768223,0.09634551495016608
0.03036614040980853,0.08849557522123896
0.04044339939536446,0.10797342192691028
0.05052065838092039,0.10372340425531912
0.06066509909304669,0.10852713178294571
0.07074235807860262,0.12060778727445398
0.08081961706415855,0.12053200332502079
0.09096405777628486,0.12629246676514028
0.10104131676184078,0.12965425531914898
0.11111857574739671,0.13059250302297465
0.121263016459523,0.13739612188365646
0.13134027544507895,0.14219948849104858
0.14141753443063487,0.14584323040380043
0.15156197514276118,0.14849290780141844
0.1616392341283171,0.15502909393183706
0.17171649311387302,0.15766823161189358
0.18186093382599933,0.16291097155522716
0.19193819281155525,0.168358417920896
0.2020154517971112,0.17159960093116067
0.21215989250923747,0.17131095630145665
0.22223715149479342,0.17593712212817414
0.23231441048034934,0.17813765182186236
0.24245885119247565,0.18398448323635352
0.25253611017803157,0.18648576749135404
0.2626133691635875,0.18802762854950117
0.2727578098757138,0.19236453201970438
0.28283506886126974,0.19619952494061754
0.29291232784682564,0.20275229357798163
0.30305676855895197,0.20571935269341612
0.3131340275445079,0.2117571336623042
0.3232112865300638,0.21575556017459985
0.33335572724219015,0.21906489318823053
0.34343298622774604,0.2237871674491393
0.3535774269398724,0.22971689150674524
0.36365468592542827,0.2351745797154997
0.3737319449109842,0.23925939241416505
0.3838763856231105,0.24343717185859293
0.39395364460866644,0.24727148703956348
0.4040309035942224,0.25008313934153636
0.41417534430634867,0.25417680454176805
0.4242526032919046,0.25748218527315914
0.4343298622774605,0.2607888631090487
0.44447430298958684,0.26375453446191055
0.45455156197514274,0.26766183860478865
0.4646288209606987,0.27154424522845577
0.47477326167282496,0.2757888778831187
0.4848505206583809,0.28072606346127205
0.49492777964393686,0.2850549748880141
0.5050722203560631,0.289172652301144
0.515149479341619,0.29316640584246223
0.525226738327175,0.2968789971859811
0.5353711790393013,0.3009160496925587
0.5454484380248572,0.30521000123167874
0.5555256970104132,0.3083806989962511
0.5656701377225395,0.31199524940617573
0.5757473967080954,0.3157526254375729
0.5858246556936513,0.3177752293577981
0.5959690964057777,0.3229624619546838
0.6060463553913336,0.3254628090012194
0.6161236143768895,0.3282084832624578
0.6262680550890158,0.3316884788671959
0.6363453140745717,0.33551520270270274
0.6464225730601276,0.3400540428185408
0.6565670137722539,0.3426788089634708
0.6666442727578099,0.3455608183009171
0.6767887134699362,0.3489180067500496
0.6868659724554921,0.35230829420970267
0.6969432314410481,0.35531135531135527
0.7070876721531744,0.35809976247030884
0.7171649311387303,0.3620608899297424
0.7272421901242861,0.365635103926097
0.7373866308364125,0.3689868804664723
0.7474638898219684,0.3720115045838577
0.7575411488075243,0.37610854913089753
0.7676855895196506,0.37901461450949503
0.7777628485052066,0.3820506176038697
0.7878401074907625,0.3843267672891617
0.7979845482028888,0.3875231520457989
0.8080618071884448,0.39050548719654143
0.8181390661740007,0.3929216620134669
0.828283506886127,0.39549030740530455
0.838360765871683,0.39899030371023314
0.8484380248572388,0.40224879246179424
0.8585824655693651,0.405868544600939
0.868659724554921,0.4090487238979118
0.878736983540477,0.4123853211009174
0.8888814242526033,0.41516136346459076
0.8989586832381592,0.41790598609969365
0.9090359422237152,0.4202941393836376
0.9191803829358415,0.42267212395848563
0.9292576419213974,0.4253903990746096
0.9393349009069533,0.427764268345015
0.9494793416190797,0.4305526073728154
0.9595566006046355,0.4326121963173003
0.9696338595901914,0.4352525462481812
0.9797783003023177,0.43732857926494784
0.9898555592878737,0.4397312338808199
1.0,0.44239166946590525
