coverage,risk
6.718172657037286e-05,0.0
0.010144440712126302,0.1854304635761589
0.02022169969768223,0.2325581395348837
0.03036614040980853,0.2676991150442478
0.04044339939536446,0.28903654485049834
0.05052065838092039,0.30053191489361697
0.06066509909304669,0.30786267995570327
0.07074235807860262,0.31718898385565053
0.08081961706415855,0.3208645054031588
0.09096405777628486,0.32939438700147705
0.10104131676184078,0.3357712765957447
0.11111857574739671,0.3343409915356711
0.121263016459523,0.339612188365651
0.13134027544507895,0.3437340153452686
0.14141753443063487,0.34394299287410923
0.15156197514276118,0.3461879432624113
0.1616392341283171,0.3466334164588528
0.17171649311387302,0.34663536776212833
0.18186093382599933,0.34613963797561875
0.19193819281155525,0.3461673083654183
0.2020154517971112,0.3525108081143997
0.21215989250923747,0.35528815706143124
0.22223715149479342,0.35459492140266025
0.23231441048034934,0.3559861191440139
0.24245885119247565,0.35716264893322247
0.25253611017803157,0.3602021814312317
0.2626133691635875,0.3622409823484267
0.2727578098757138,0.36379310344827587
0.28283506886126974,0.3646080760095012
0.29291232784682564,0.36444954128440366
0.30305676855895197,0.3659942363112392
0.3131340275445079,0.3664449688907959
0.3232112865300638,0.36769902307212643
0.33335572724219015,0.36678758565094716
0.34343298622774604,0.36932707355242567
0.3535774269398724,0.370891126733802
0.36365468592542827,0.3702198411232219
0.3737319449109842,0.3744382527413266
0.3838763856231105,0.37679383969198454
0.39395364460866644,0.37755798090040926
0.4040309035942224,0.3787828400399069
0.41417534430634867,0.3808596918085969
0.4242526032919046,0.3836896278701505
0.4343298622774605,0.3862335653518948
0.44447430298958684,0.3883010882708585
0.45455156197514274,0.39048182086905114
0.4646288209606987,0.39242336610757667
0.47477326167282496,0.39295316258667046
0.4848505206583809,0.3957322987390882
0.49492777964393686,0.39866974345052264
0.5050722203560631,0.4005054535780793
0.515149479341619,0.40245174752217006
0.525226738327175,0.4044512663085188
0.5353711790393013,0.40594804868866863
0.5454484380248572,0.4076856755758098
0.5555256970104132,0.40948119482404155
0.5656701377225395,0.41033254156769594
0.5757473967080954,0.4117852975495916
0.5858246556936513,0.41456422018348627
0.5959690964057777,0.41618757749971813
0.6060463553913336,0.4173594945128034
0.6161236143768895,0.41925635154290697
0.6262680550890158,0.4210469856254023
0.6363453140745717,0.4229307432432432
0.6464225730601276,0.4252754105175639
0.6565670137722539,0.4258671851018111
0.6666442727578099,0.4264839262319863
0.6767887134699362,0.4289259479849117
0.6868659724554921,0.4315336463223787
0.6969432314410481,0.43377674956622325
0.7070876721531744,0.4355344418052256
0.7171649311387303,0.43784543325526937
0.7272421901242861,0.4396304849884527
0.7373866308364125,0.4410532069970845
0.7474638898219684,0.44355563544849896
0.7575411488075243,0.4459914863426747
0.7676855895196506,0.4474490242408331
0.7777628485052066,0.4495119633756587
0.7878401074907625,0.4514368551206617
0.7979845482028888,0.4541168546893416
0.8080618071884448,0.45585300964416364
0.8181390661740007,0.45771062571850873
0.828283506886127,0.46021575148024985
0.838360765871683,0.46237679301226065
0.8484380248572388,0.4640905851611371
0.8585824655693651,0.46580594679186227
0.868659724554921,0.4668986852281516
0.878736983540477,0.4685015290519877
0.8888814242526033,0.469881339278966
0.8989586832381592,0.47141469247440404
0.9090359422237152,0.473505284162294
0.9191803829358415,0.474345855869025
0.9292576419213974,0.47592539039907455
0.9393349009069533,0.4774710341868116
0.9494793416190797,0.479303757164084
0.9595566006046355,0.4812014282713716
0.9696338595901914,0.4829903692925933
0.9797783003023177,0.48464070213933075
0.9898555592878737,0.4864938238088774
1.0,0.4884111521666107
