coverage,risk
6.718172657037286e-05,0.0
0.010144440712126302,0.05960264900662249
0.02022169969768223,0.07973421926910296
0.03036614040980853,0.08628318584070793
0.04044339939536446,0.10299003322259137
0.05052065838092039,0.10106382978723405
0.06066509909304669,0.10741971207087486
0.07074235807860262,0.11206077872744535
0.08081961706415855,0.1188694929343308
0.09096405777628486,0.1322008862629247
0.10104131676184078,0.13031914893617025
0.11111857574739671,0.13119709794437728
0.121263016459523,0.13684210526315788
0.13134027544507895,0.1427109974424552
0.14141753443063487,0.1477434679334917
0.15156197514276118,0.14804964539007093
0.1616392341283171,0.15419783873649207
0.17171649311387302,0.15845070422535212
0.18186093382599933,0.16106390838566675
0.19193819281155525,0.16380819040952044
0.2020154517971112,0.16827402726970397
0.21215989250923747,0.1706776440785307
0.22223715149479342,0.1738210399032648
0.23231441048034934,0.1764025448235974
0.24245885119247565,0.18038237738985874
0.25253611017803157,0.18276137270550674
0.2626133691635875,0.18444614991046304
0.2727578098757138,0.19162561576354675
0.28283506886126974,0.1954869358669834
0.29291232784682564,0.19839449541284404
0.30305676855895197,0.20239414763910446
0.3131340275445079,0.20832439390688695
0.3232112865300638,0.21305341924755772
0.33335572724219015,0.21825876662636035
0.34343298622774604,0.2237871674491393
0.3535774269398724,0.22743682310469315
0.36365468592542827,0.2318492518012193
0.3737319449109842,0.23638324644975728
0.3838763856231105,0.23976198809940497
0.39395364460866644,0.24454297407912684
0.4040309035942224,0.24842035251080807
0.41417534430634867,0.25158150851581507
0.4242526032919046,0.255581947743468
0.4343298622774605,0.2581593194122196
0.44447430298958684,0.2614873035066505
0.45455156197514274,0.26603606266627255
0.4646288209606987,0.2686524002313476
0.47477326167282496,0.27267581717843503
0.4848505206583809,0.2775391436885132
0.49492777964393686,0.2817972037464368
0.5050722203560631,0.28611332801276934
0.515149479341619,0.28964527908189885
0.525226738327175,0.2935533384497314
0.5353711790393013,0.2970259756556657
0.5454484380248572,0.3013917970193374
0.5555256970104132,0.3046317571653162
0.5656701377225395,0.3085510688836105
0.5757473967080954,0.31213535589264874
0.5858246556936513,0.3165137614678899
0.5959690964057777,0.3195806560703416
0.6060463553913336,0.3231349074381997
0.6161236143768895,0.32646385345109585
0.6262680550890158,0.32975756275477364
0.6363453140745717,0.3327702702702703
0.6464225730601276,0.3372479733943047
0.6565670137722539,0.34165558170469656
0.6666442727578099,0.3449561624508717
0.6767887134699362,0.3497121302362517
0.6868659724554921,0.3527973395931142
0.6969432314410481,0.35617890881048775
0.7070876721531744,0.3595249406175772
0.7171649311387303,0.36234192037470725
0.7272421901242861,0.3649884526558892
0.7373866308364125,0.3676202623906706
0.7474638898219684,0.37012403379471503
0.7575411488075243,0.37309329549485637
0.7676855895196506,0.3760392053907412
0.7777628485052066,0.3790273818778612
0.7878401074907625,0.3814274750575595
0.7979845482028888,0.3850816635797272
0.8080618071884448,0.3875124709012304
0.8181390661740007,0.389390704549187
0.828283506886127,0.3929759104550248
0.838360765871683,0.39570478403718246
0.8484380248572388,0.3993982104679705
0.8585824655693651,0.4024256651017214
0.868659724554921,0.40572312451662795
0.878736983540477,0.4077981651376147
0.8888814242526033,0.4103242385307233
0.8989586832381592,0.41289888648083106
0.9090359422237152,0.4154903554800089
0.9191803829358415,0.4190176874725917
0.9292576419213974,0.4219201850780798
0.9393349009069533,0.424831926762981
0.9494793416190797,0.42793462109955427
0.9595566006046355,0.43079185045158586
0.9696338595901914,0.43358969029307837
0.9797783003023177,0.4363000548546352
0.9898555592878737,0.4392561422560065
1.0,0.44239166946590525
