class,support,precision,recall_sensitivity,specificity,f1
akiec,737,0.17195004803073968,0.24287652645861602,0.9390726604467062,0.2013498312710911
bcc,2809,0.7408737283064033,0.4407262370950516,0.9641437562106658,0.5526785714285715
bkl,1525,0.3136859103754542,0.5095081967213114,0.8727544910179641,0.38830584707646176
df,124,0.09941520467836257,0.4112903225806452,0.9687013074994919,0.16012558869701726
mel,3409,0.6436712657468506,0.3147550601349369,0.9482398048100383,0.4227738376674547
nv,6170,0.6703311617806732,0.8004862236628849,0.721285140562249,0.7296498744275373
vasc,111,0.33783783783783783,0.45045045045045046,0.9933667253282794,0.3861003861003861
