class,support,precision,recall_sensitivity,specificity,f1
akiec,737,0.154776299879081,0.17367706919945725,0.9505937234944869,0.1636828644501279
bcc,2809,0.6293532338308457,0.3602705589177643,0.9506459092414706,0.4582295675798053
bkl,1525,0.2140896614821592,0.460327868852459,0.8071107784431137,0.2922564529558701
df,124,0.13533834586466165,0.14516129032258066,0.9922091999187047,0.14007782101167315
mel,3409,0.552128583840139,0.3728366089762394,0.9101603346113628,0.44510593591315006
nv,6170,0.6723308270676692,0.7246353322528363,0.7499713138267355,0.6975039001560063
vasc,111,0.3372093023255814,0.26126126126126126,0.9961418708542034,0.29441624365482233
