class,support,precision,recall_sensitivity,specificity,f1
akiec,737,0.16633266533066132,0.22523744911804613,0.941193101498445,0.19135446685878962
bcc,2809,0.6674987518721918,0.47597009611961555,0.9448492878436568,0.5556940980881131
bkl,1525,0.2842332613390929,0.4314754098360656,0.8759730538922156,0.34270833333333334
df,124,0.09236947791164658,0.18548387096774194,0.9846893841880632,0.12332439678284182
mel,3409,0.7204918032786886,0.2578468759166911,0.9702858138724294,0.3797796500324044
nv,6170,0.667807351077313,0.8539708265802269,0.6992541594951234,0.7495021337126601
vasc,111,0.29523809523809524,0.5585585585585585,0.9899824015161771,0.3862928348909657
