,akiec,bcc,bkl,df,mel,nv,vasc
akiec,177,51,275,26,20,187,1
bcc,566,987,294,58,110,780,14
bkl,122,97,728,20,38,513,7
df,5,7,19,20,3,67,3
mel,175,60,467,26,934,1738,9
nv,70,82,366,19,243,5378,12
vasc,1,7,5,3,2,39,54
