,akiec,bcc,bkl,df,mel,nv,vasc
akiec,128,66,361,11,44,127,0
bcc,368,1012,668,66,230,450,15
bkl,114,153,702,7,138,400,11
df,8,6,20,18,7,64,1
mel,111,171,757,7,1271,1088,4
nv,97,191,765,19,601,4471,26
vasc,1,9,6,5,11,50,29
