,akiec,bcc,bkl,df,mel,nv,vasc
akiec,179,67,240,72,14,165,0
bcc,502,1238,314,178,75,477,25
bkl,101,109,777,45,54,417,22
df,6,9,17,51,3,37,1
mel,163,106,671,64,1073,1305,27
nv,90,130,453,89,446,4939,23
vasc,0,12,5,14,2,28,50
