class,support,precision,recall_sensitivity,specificity,f1
akiec,737,0.1586021505376344,0.24016282225237448,0.9336301950805768,0.19104155423637345
bcc,2809,0.7645236250968241,0.3513705945176219,0.9748261013580656,0.4814634146341463
bkl,1525,0.33797585886722376,0.47737704918032786,0.8932634730538922,0.3957597173144876
df,124,0.11627906976744186,0.16129032258064516,0.9897025946751575,0.13513513513513514
mel,3409,0.6918518518518518,0.2739806394837196,0.9637504356918787,0.39251943685648244
nv,6170,0.6180188462422431,0.8716369529983793,0.6185886402753873,0.7232383001613771
vasc,111,0.54,0.4864864864864865,0.9968864220928658,0.5118483412322274
